""	0
"30 Rock"	1
"32 Flavors"	2
"33 Variations"	3
"6x6" album	4
"90210"	5
"A Clear Day in the Motor City"	6
"A Girl Walks Home Alone at Night"	7
"A Thousand Trees"	8
"A Woman of the Iron People"	9
"Abbey Road" album cover in 1969	10
"Across the Universe"	11
"Adventurer"	12
"All I Want"	13
"All in the Family"	14
"All the President's Men"	15
"Along the Way"	16
"American Beauty/American Psycho"	17
"American Gothic"	18
"An African Aristocracy: Rank Among the Swazi"	19
"Animale"	20
"Army Girl"	21
"Arts and Community" in Thornbury	22
"Au Service du Tsar"	23
"Bad Education"	24
"Bald Billy"	25
"Barron's" in the late 1980s into the early 1990s	26
"Before and After Dinner"	27
"Belle de Nuit"	28
"Between Mother and Daughter"	29
"Between the Lines"	30
"Blame It on Me"	31
"Blue Bloods"	32
"Bluebird"	33
"Bonnie & Clyde II"	34
"Boston Legal"	35
"Burn Notice"	36
"Byker Grove"	37
"Café de Paris"	38
"Californication"	39
"Can I Tell You"	40
"Career Suicide"	41
"Career Suicide" album	42
"Carry On Wayward Son"	43
"Carry On"	44
"Casa Editorial"	45
"Castle"	46
"Casualty"	47
"Catweazle"	48
"Chair by the Window" on "Is This Tomorrow"	49
"Chairman"	50
"Chairman" single	51
"Clarence"	52
"Cloud Burst"	53
"Co z tą Polską?"	54
"Constrictor" and "Raise Your Fist and Yell"	55
"Coyote Ugly"	56
"Crankshaft"	57
"Crazy"	58
"Crime and Punishment"	59
"Dagger John"	60
"Dakota"	61
"Dapple"	62
"Dawn's Music"	63
"Dead Gone"	64
"Deuxième Bureau"	65
"Dick Turpin"	66
"Die Wachende Kirche"	67
"Digging to China"	68
"Dixon of Dock Green"	69
"Do the Right Thing"	70
"Doctor Snuggles"	71
"Doctor Who Unbound" series	72
"Doctor Who"	73
"Don't Wait Up"	74
"Double Crime sur la Ligne Maginot"	75
"Down in the Valley"	76
"Dust in the Wind"	77
"ER"	78
"Ecky" Stearns	79
"El Último Cuplé"	80
"El Último Cuplé" and "La Violetera"	81
"Elizabeth R"	82
"Everybody Hates Chris"	83
"Fakty TVN"	84
"Fantasy"	85
"Fast Train to a Quiet Place"	86
"Fireproof"	87
"Flight of the Raven"	88
"Flight of the Raven" album	89
"Flying Circus of Physics"	90
"Fortune Cookies"	91
"From the Girls" compilations	92
"Full Fathom Five"	93
"Fundamentals of Physics"	94
"Gideon's Way"	95
"Gideon's Way" episode "The Prowler"	96
"Girlfriends"	97
"Going Straight"	98
"Golden Age" of Norwegian painting	99
"Good Lovin'"	100
"Grabau Index"	101
"Grabau Zone"	102
"Graffiti on the Train"	103
"Gramotsava" programme	104
"Gramotsava" programme in Kerala	105
"Greatest Hits" album	106
"Groovin'"	107
"Gunsmoke"	108
"Gyalmo" (Queen Consort)	109
"Gündüz Kılıç Revolution"	110
"Headed for a Heartbreak"	111
"Heilsufrøðingur"	112
"Hidden Persuaders"	113
"Holding This Moment" 7" and CD collection	114
"Holy Matter"	115
"Hot in Cleveland"	116
"House of Games"	117
"How I Met Your Mother"	118
"How to Frame a Figg"	119
"Hundred Percent"	120
"Hunter/Hunted"	121
"I Am My Own Wife"	122
