head	tail	relation
Wong Fei-hung Memorial Hall	museum in memory of Wong Fei-hung	instance of
Wong Fei-hung Memorial Hall	Foshan Ancestral Temple	part of the administrative territorial entity
Wong Fei-hung Memorial Hall	imitation Qing Dynasty (1644-1911) style	architectural style
Wong Fei-hung Memorial Hall	exhibition hall	has part of
Wong Fei-hung Memorial Hall	auditorium	has part of
Wong Fei-hung Memorial Hall	martial arts hall	has part of
Wong Fei-hung Memorial Hall	martial arts courtyards	has part of
exhibition hall	Wong Fei-hung's life story	describes
exhibition hall	thousands of cultural relics relating to Wong Fei-hung	contains
Warriors Two	Hong Kong martial arts film	instance of
Warriors Two	Sammo Hung	director
Warriors Two	Sammo Hung	cast member
Warriors Two	Bryan Leung	cast member
Warriors Two	Casanova Wong	cast member
Warriors Two	Fung Hak-on	cast member
Bryan Leung	Leung Jan	character role
Leung Jan	a well-known early practitioner of the Wing Chun style of kung fu	is a description of
Bryan Leung's association with Wing Chun	Wong Fei-hung's association with the Hung Gar style	linguistic relation
Wong Fei Hung Series	a 1996 Hong Kong television film series	instance of
Wong Fei Hung Series	five stories about the Chinese folk hero Wong Fei-hung	subject is
Wong Fei Hark Series	Tsui Hark	executive producer
Wong Fei Hung Series	Vincent Zhao	cast member
Wong Fei Hung Series	Maggie Shiu	cast member
Wong Fei Hung Series	Max Mok	cast member
Wong Fei Hung Series	Lau Shun	cast member
Wong Fei Hung Series	Kent Cheng	cast member
Wong Fei Hung Series	Hung Yan-yan	cast member
Wong Fei Hung Series	Power Chan	cast member
Wong Fei Hung Series	Cheung Chun-hung	cast member
Wong Fei Hung Series	a television series counterpart to the "Once Upon a Time in China" film series	linguistic relation
"Once Upon a Time in China" film series	Tsui Hark	executive producer
"Once Upon a Time in China" film series	Vincent Zhao	cast member
Man from Guangdong	Hong Kong martial arts television series	instance of
Man from Guangdong	TVB	executive producer
Man from Guangdong	Leung Kan	subject is
Leung Kan	Aaron Kwok	portrayal is of
SS "Brown Victory"	Victory-class cargo ship	instance of
SS "Brown Victory"	World War II	participated in
SS "Brown Victory"	Emergency Shipbuilding program	process
SS "Brown Victory"	MCV-712	has official designation
SS "Brown Victory"	VC2-S-AP2 victory ship	instance of
SS "Brown Victory"	Oregon Shipbuilding Company Portland	manufacturer of
SS "Brown Victory"	171	number
SS "Brown Victory"	armed cargo ship	instance of
SS "Brown Victory"	Brown University	is named after
Brown University	150 educational institutions that had Victory ships named after them	is named after
