P31	instance of
P279	subclass of
P17	country
P569	date of birth
P625	coordinate location
P106	occupation
P570	date of death
P19	place of birth
P20	place of death
P1476	title
P495	country of origin
P577	publication date
P131	located in the administrative territorial entity
P18	image
P21	sex or gender
P150	contains administrative territorial entity
P585	point in time
P571	inception
P27	country of citizenship
P156	followed by
P155	follows
P136	genre
P856	official website
P50	author
P112	founded by
P407	language of work or name
P171	parent taxon
P276	location
P166	award received
P39	position held
P361	part of
P1082	population
P127	owned by
P800	notable work
P452	industry
P580	start time
P1412	languages spoken, written or signed
P161	cast member
P2046	area
P582	end time
P84	architect
P102	member of political party
P69	educated at
P175	performer
P138	named after
P1433	published in
P1343	described by source
P463	member of
P6	head of government
P40	child
P179	part of the series
P4969	derivative work
P144	based on
P123	publisher
P170	creator
P735	given name
P195	collection
P22	father
P25	mother
P26	spouse
P137	operator
P484	IMA Number, broad sense
P734	family name
P30	continent
P101	field of work
P373	Commons category
P206	located in or next to body of water
P140	religion
P287	designed by
P159	headquarters location
P205	basin country
P1303	instrument
P286	head coach
P110	illustrator
P119	place of burial
P194	legislative body
P1344	participant in
P527	has part
P103	native language
P1114	quantity
P107	main building contractor
P176	manufacturer
P1435	heritage designation
P1336	territory claimed by
P248	stated in
P1001	applies to jurisdiction
P54	member of sports team
P1365	replaces
P1366	replaced by
P59	constellation
P551	residence
P190	twinned administrative body
P2094	competition class
P1142	political ideology
P264	record label
P94	coat of arms image
P162	producer
P47	shares border with
