head	tail	relation
Adam Collis	American filmmaker	instance of game
Adam Collis	actor	instance of game
Adam Collis	Duke University	educated at
Adam Collis	1986 to 1990	educated at
Adam Collis	2007 to 2010	educated at
Adam Collis	University of Southern California	educated at
Adam Collis	1991 to 1997	educated at
assistant director for Scott Derrickson's short "Love in the Ruins"	Adam Collis	contributor to work
Adam Collis	1995	date of first occurrence
Adam Collis	"Crankshaft"	role
Eric Koyanagi's "Hundred Percent"	Adam Collis	cast member
Adam Collis	1998	date of first occurrence
Ed Wood (film)	1994 American biographical period comedy-drama film	instance of game
Ed Wood (film)	Tim Burton	director
Ed Wood (film)	Tim Burton	producer
Ed Wood (film)	Johnny Depp	cast member
Ed Wood (film)	Johnny Depp	actor
Ed Wood (film)	period in Wood's life when he made his best-known films	film work
Ed Wood (film)	Wood's relationship with actor Bela Lugosi	film work
Bela Lugosi	Martin Landau	portrayed as
Ed Wood (film)	Sarah Jessica Parker	cast member
Ed Wood (film)	Patricia Arquette	cast member
Ed Wood (film)	Jeffrey Jones	cast member
Ed Wood (film)	Lisa Marie	cast member
Ed Wood (film)	Bill Murray	cast member
Tyler Bates	American musician	instance of game
Tyler Bates	music producer	instance of game
Tyler Bates	composer for films	instance of game
Tyler Bates	composer for television	instance of game
Tyler Bates	composer for video games	instance of game
Tyler Bates	action film	genre
Tyler Bates	horror film	genre
Dawn of the Dead	Tyler Bates	composer
300	Tyler Bates	composer
Sucker Punch	Tyler Bates	composer
John Wick	Tyler Bates	composer
Tyler Bates	Zack Snyder	collaboration
Tyler Bates	Rob Zombie	collaboration
Tyler Bates	Neil Marshall	collaboration
Tyler Bates	William Friedkin	collaboration
Tyler Bates	Scott Derrickson	collaboration
Tyler Bates	James Gunn	collaboration
James Gunn	Tyler Bates	soundtrack for film
Guardians of the Galaxy	Tyler Bates	composer
A Kiss for Corliss	American comedy film of 1949	instance of game
A Kiss for Corliss	Richard Wallace	director
A Kiss for Corliss	Howard Dimsdale	writer
A Kiss for Corliss	Shirley Temple	cast member
A Kiss for Corliss	Shirley Temple	cast member
A Kiss for Corliss	Kiss and Tell	has sequel
A Kiss for Corliss	Almost a Bride	original title
A Kiss for Corliss	United Artists	production
Lord High Treasurer	English government position	instance of game
Lord High Treasurer	Great Britain	jurisdiction
holder of the post of Lord High Treasurer	Great Officer of State	instance of game
Lord High Steward	holder of the post of Lord High Treasurer	rank determined on
Lord High Chancellor	holder of the post of Lord High Treasurer	rank determined on
Meet Corliss Archer (TV series)	American television sitcom	instance of game
Meet Corliss Archer (TV series)	CBS	network
"Meet Corliss Archer" (TV series)	Ziv Company	supplier
"Meet Corliss Archer" (TV series)	April to December 1954	date of flight
"Meet Corliss Archer" (TV series)	radio series of the same name	is based on
radio series of the same name	a series of short stories by F. Hugh Herbert	is based on
Village accountant	an administrative government position	instance of game
Village accountant	rural parts of the Indian sub-continent	limited scope of
Village accountant	Patwari	has alternative name
Village accountant	Talati	has alternative name
Village accountant	Patel	has alternative name
Village accountant	Karnam	has alternative name
Village accountant	Adhikari	has alternative name
Village accountant	Shanbogaru	has alternative name
Village accountant	Patnaik	has alternative name
office and the officeholder of Village Accountant	patwari in Telangana	native to the area
office and the officeholder of Village Accountant	patwari in Bengal	native to the area
Village Accountant	patwari	official name
Village Accountant	patwari	official name
Village Accountant	tapedar	official name
Village Accountant	karnam	official name
Village Accountant	patnaik	official name
Village Accountant	adhikari	official name
Village Accountant	talati	official name
Animorphs	science fantasy series of young adult books	instance of game
Animorphs	Katherine Applegate and Michael Grant	author
Katherine Applegate and Michael Grant	K. A. Applegate	is a pseudonym of
Animorphs	Scholastic	publisher
Animorphs	first person	narrative content
Animorphs	main characters take turns narrating the books through their own perspectives	characteristic
Animorphs	Horror	theme of
Animorphs	war	theme of
Animorphs	dehumanization	theme of
Animorphs	sanity	theme of
Animorphs	morality	theme of
Animorphs	innocence	theme of
Animorphs	leadership	theme of
Animorphs	freedom	theme of
Animorphs	growing up	theme of
Science Fantasy	Impulse	has alternative name
Science Fantasy	SF Impulse	has alternative name
Science Fantasy	British fantasy and science fiction magazine	instance of game
Science Fantasy	1950	publication time
Science Fantasy	Nova Publications	founded by
Science Fantasy	New Worlds	companion of
Walter Gillings	the first two issues	editor of
John Carnell	Walter Gillings	editor of
John Carnell	New Worlds	editor of
John Carnell	both magazines	editor of
Nova	early 1964	ceased operations in
Roberts & Vinter	The titles	acquired
Roberts & Vinter	Kyril Bonfiglioli	wanted
Kyril Bonfiglioli	Impulse	original title
Kyril Bonfiglioli	early 1966	original title
"Impulse"	confusion with the distributors	was caused by
"Impulse"	fell	status
"Impulse"	profitable	financial outcome
"Impulse"	"SF Impulse"	title for
"Science Fantasy"	the following year	end of publication
Roberts & Vinter	financial pressure	subject of
The Divide trilogy	fantasy young adult novel trilogy	instance of game
The Divide trilogy	Elizabeth Kay	author
The Divide trilogy	an alternate universe	setting
The Divide trilogy	"The Divide" (2002)	series
The Divide trilogy	"Back to The Divide" (2005)	series
The Divide trilogy	"Jinx on The Divide" (2006)	series
"The Divide" (2002)	Chicken House	publisher
Chicken House	Scholastic	parent
subsequent volumes	Scholastic	publisher
the first novel	Scholastic Corporation	publisher
Esma Sultan	three daughters of three Ottoman Sultans	description
Esma Sultan	Ottoman princess	instance of game
Esma Sultan	17 July 1778	year of birth
Esma Sultan	4 June 1848	date of killing
Esma Sultan	Sultan Abdul Hamid I	father of
Esma Sultan	Sultan Mustafa IV	sibling
Esma Sultan	Sultan Mahmud II	sibling
Esma Sultan	Bezmiâlem Sultan	adopted during
Esma Sultan	Rahime Perestu Sultan	adopted during
Laleli Mosque	an 18th-century Ottoman imperial mosque	description
Laleli Mosque	Laleli Camii	has alternative name
Laleli Mosque	Tulip Mosque	has alternative name
Gevheri Kadın	8 July 1856	year of birth
Gevheri Kadın	6 September 1884	date of killing
Gevheri Kadın	Sultan Abdülaziz	spouse
Şehzade Mehmed Seyfeddin	Gevheri Kadın	parent
Esma Sultan of the Ottoman Empire	Gevheri Kadın	parent
Esma Sultan of the Ottoman Empire	14 March 1726	year of birth
Esma Sultan of the Ottoman Empire	13 August 1788	date of killing
Esma Sultan of the Ottoman Empire	Ottoman princess	instance of game
Esma Sultan of the Ottoman Empire	Sultan Ahmed III	father of
Esma Sultan of the Ottoman Empire	Zeynep Kadın	spouse
Esma Sultan of the Ottoman Empire	Sultan Mustafa III	sibling
Esma Sultan of the Ottoman Empire	Abdul Hamid I	sibling
Djamaâ el Kebir	mosque	instance of game
Djamaâ el Kebir	Algiers Harbor	location of
Djamaâ el Kebir	الجامع الكبير	official name
Djamaâ el Kebir	Great Mosque	description
Djamaâ el Kebir	Jemaa Kebir	has alternative name
Djamaâ el Kebir	Djama’a al-Kebir	has alternative name
Djamaâ el Kebir	Grand Mosque d'Alger	has alternative name
Djamaâ el Kebir	Djamaa al-Kebir	has alternative name
Djamaâ el Kebir	El Kebir Mosque	has alternative name
Djamaâ el Kebir	Jami Masjid	has alternative name
Djamaâ el Kebir	Almoravid architecture	instance of game
Great Eastern shows	demise of the annual Comic Art Convention	separates
Great Eastern shows	Creation Conventions	fills gap between
Big Apple Comic Con	Great Eastern shows	preceded by
Big Apple Comic Con	Michael Carbonaro	founded by
Big Apple Comic Con	1996	inception
Great Eastern	New York City	shows
Great Eastern shows	1993–1995	held
Great Eastern shows	Jacob K. Javits Convention Center	location of
Great Eastern	New Jersey	event
Great Eastern	Pennsylvania	event
Great Eastern	Massachusetts	event
Great Eastern	Oregon	event
Great Eastern	Minnesota	event
Great Eastern	Texas	event
Big Stone Gap (film)	drama romantic comedy film	instance of game
Big Stone Gap	Adriana Trigiani	director
Big Stone Gap	Donna Gigliotti	producer
Big Stone Gap	Altar Identity Studios	production
Altar Identity Studios	Media Society	parent
Big Stone Gap	Trigiani's 2000 best-selling novel of the same name	is based on
Big Stone Gap	Virginia town of Big Stone Gap	location associated with
Big Stone Gap	1970s	delimitation date
Big Stone Gap	Virginia Film Festival	premiere event
I Love NY	I Love New Year	has alternative name
I Love NY	Indian romantic comedy film	instance of game
I Love NY	Radhika Rao and Vinay Sapru	director
I Love NY	Sunny Deol and Kangana Ranaut in lead roles	cast member
I Love NY	Bhushan Kumar and Krishan Kumar	producer
I Love NY	Super Cassettes Industries Ltd.	production
I Love NY	Mumbai	filmed using
I Love NY	New York City	filmed using
I Love NY	Bangkok	filmed using
I Love NY	The Irony of Fate	parody subject
The Irony of Fate	1976	publication time
I Love NY	10 July 2015	publication time
Just Another Romantic Wrestling Comedy	film	instance of game
Just Another Romantic Wrestling Comedy	April Hunter and Joanie Laurer	cast member
Just Another Romantic Wrestling Comedy	New Jersey and New York City	premiere event
Sylvester Samuels	Lil Ru	stage name
Lil Ru	American rapper	instance of game
Lil Ru	Def Jam Recordings	record label
21 & Up	Lil Ru	describes work
Lil Ru	16	age at creation of work
Lil Ru	local music scene	active in the year
Lil Ru	New Orleans’ innovative Cash Money Crew	influence on
Lil Ru	live shows	activity
Lil Ru	own CDs	publication
Angie Stone	Lil Ru	discovered
Angie Stone	neo-soul songstress	instance of game
Elektra Records	Angie Stone	record label
Lil Ru	Elektra Records merged with Atlantic Records	signed player
Will Destroy	Billboard R&B/Hip-Hop charts	charted on
Shawty What You Doin’	Billboard R&B/Hip-Hop charts	charted on
Capitol Records	Will Destroy and Shawty What You Doin’	record label for
James Pierpont Comer	James P. Comer	similar to
James P. Comer	Maurice Falk Professor of Child Psychiatry at the Yale Child Study Center	position held
James P. Comer	1976	end date of tenure
James P. Comer	associate dean at the Yale School of Medicine	position held
James P. Comer	efforts to improve the scholastic performance of children from lower-income and minority backgrounds	notable for
Comer School Development Program	James P. Comer's efforts	founder
Comer School Development Program	1968	date of establishment
Comer School Development Program	more than 600 schools in eighty-two school districts	number of educational institutions
James P. Comer	ten books	author of
Maggie’s American Dream: The Life and Times of a Black Family	1988	publication time
Leave No Child Behind: Preparing Today's Youth for Tomorrow's World	2004	publication time
Dwyer Arena	ice surface	has part or has former part
ice surface	200 x 85 ft.	maximum size
Dwyer Arena	pro shop	has part or has former part
pro shop	Niagara University's campus	located in building
Niagara Purple Eagles men's ice hockey team	main rink	located in venue
Niagara Purple Eagles men's ice hockey team	Atlantic Hockey	member of sports league
women's ice hockey team	Dwyer Arena	former home venue
women's ice hockey team	College Hockey America	member of sports league
Lewiston Maineiacs	junior ice hockey team	instance of game
Lewiston Maineiacs	Quebec Major Junior Hockey League	member of sports league
Lewiston Maineiacs	Androscoggin Bank Colisée	venue for game played by
Lewiston Maineiacs	second QMJHL team in the United States	characteristic
Lewiston Maineiacs	only QMJHL team to play a full season in the United States	characteristic
Lewiston Maineiacs	President's Cup	award winner
President's Cup	2007	year of award
Loan modification	systematic alteration of mortgage loan agreements	instance of game
Loan modification	help those having problems making the payments	intended purpose
Lending institutions	borrowers	on loan from
Lending institutions	prevent foreclosure	goal
Loan modification	the United States	applies to
Loan modification	The 2008 Crash Of The Housing Market	date of inception
Loan modification	Washington Mutual	contributor to work
Loan modification	Chase Home Finance	contributor to work
Loan modification	Chase	contributor to work
Loan modification	JP Morgan & Chase	contributor to work
Loan modification	MER's	contributor to work
Crimes of Mortgage ad Real Estate Staff	Loan modification	assisted
The United States Department of Housing	Modification owners	issued by
The United States IRS	Modification owners	issued by
President Obamas letters from Note Holders	Modification owners	issued by
The United States Department of Housing	President Obamas letters from Note Holders	recipient of
The United States IRS	President Obamas letters from Note Holders	recipient of
President Obamas letters from Note Holders	Democratic process to help them keep their homes and protection them from explosion	advocacy for
Modifications	President Obamas letters	predecessor event to
Democratic Process for assistance	note holders from the Midwest	requested by
FBI Mortgage Fraud Department	note holders from the Midwest reached out	established from
Modifications HMAP HARP	note holders get Justice	provides benefit
Modifications HMAP HARP	reduced mortgage by making terms legal	method of application
Modification of mortgage terms	IRS staff	introduced in
IRS staff	crisis called the HAMP TEAMS	addresses
Gumbo	studio album by PJ Morton	instance of game
Gumbo	Morton Records	publisher
Gumbo	New Orleans (2013) by PJ Morton	followed by
Gumbo	R&B with elements of older soul music	genre
Gumbo	romance	lyrical description
Gumbo	political and personal themes	thematic relation
Gumbo	PJ Morton	producer
Gumbo	Pell	is featured in
Gumbo	BJ the Chicago Kid	is featured in
Gumbo	How Deep Is Your Love (Bee Gees cover)	has part or has former part
Lady Gaga x Terry Richardson	photo book by Lady Gaga and Terry Richardson	instance of game
Lady Gaga x Terry Richardson	Grand Central Publishing	publisher
Lady Gaga x Terry Richardson	over 350 pictures of Lady Gaga taken by Terry Richardson	contains
pictures of Lady Gaga	The Monster Ball Tour till the 2011 Grammy Awards	time period
Lady Gaga x Terry Richardson	foreword by Lady Gaga about relationship with Terry Richardson	includes
Lady Gaga and Terry Richardson	other projects prior to the shooting of the book	contributor to
Piano Girl	Turkish comedy-drama film	instance of game
Piano Girl	Murat Saraçoğlu	director
Piano Girl	Tarık Akan and Şerif Sezer	cast member
Tarık Akan and Şerif Sezer	two elderly people forced to question their histories and reveal their big secrets	plays role
Piano Girl	Turkey	country of origin
Piano Girl	a number of other film festivals	screened at
Piano Girl	the 46th Antalya Golden Orange Film Festival	screened at
rapt audience at the 46th Antalya Golden Orange Film Festival	a standing ovation	bestowed
Snoecks	Belgian magazine	instance of game
Snoecks	once a year in October	frequency
Snoecks	Anton Corbijn	is featured in
Snoecks	Larry Sultan	is featured in
Snoecks	Matthew Barney	is featured in
Snoecks	Terry Richardson	is featured in
Snoecks	Ron Mueck	is featured in
E.R. Hays House	Bybee & Davis Funeral Home	has alternative name
E.R. Hays House	historic building	instance of game
Hays	local lawyer	occupation
Edwin H. Conger	United States House of Representatives	position held
Hays	Edwin H. Conger	replaces
Edwin H. Conger	United States Ambassador to Brazil	resigned due to
Hays	a year after the house was completed	date of killing
E.R. Hays House	The family	owner
E.R. Hays House	Bybee & Davis Funeral Home	became
The 2½-story brick structure	Foster & Liebbe	architectural work of
The 2½-story brick structure	Late Victorian and Italianate styles	architectural work of
Victorian eclecticism	the porch and the trimwork	features
Italianate	the building's massing	features
The house	National Register of Historic Places	listed on
Cresco Opera House	the Cresco Theater	has alternative name
Cresco Opera House	historic building	instance of game
Lyric Hall	The first known theater in Cresco	is
Lyric Hall	1875	publication time
Lyric Hall	1900	film debut
The Family and the Cozy theaters	the turn of the century	establishment date
Lyric Hall	1913	caused demolition of
The other two theaters	substandard	status
The Cresco Commercial Club	early 1914	fundraiser for
Cresco Opera House	The Cresco Commercial Club	fundraiser for
Cresco Opera House Company	the same time	founded before
Cresco Opera House	the end of the year	student completion date
Cresco Opera House	1915	scheduled opening date
Cresco Opera House	Joseph H. Howe	architectural work of
Cresco Opera House	Martin Johnson	building
High Jinks	Cresco Opera House	date of first performance
The theater	425	seat location
The theater	movies	notable feature
The theater	a community hall in the basement	has part or has former part
The theater	the National Register of Historic Places	listed on
Ophur	rock band	instance of game
Ophur	the Chicago suburbs in DuPage County	country of origin
Ophur	the midwestern United States	area of coverage
History of the Kansas City metropolitan area	19th century	inception
Kansas City metropolitan area	border between Missouri and Kansas	location of
Kansas City metropolitan area	confluence of the Kansas and Missouri Rivers	location of
Kansas City metropolitan area	strategic point for commerce and security	function
The area	westward expansion of the United States	contributes
Santa Fe Trail	Kansas City metropolitan area	passes through
Oregon Trail	Kansas City metropolitan area	passes through
Missouri-Kansas border	first battlefield in the conflict in the American Civil War	notable for
Kansas	Euro-American settlement	opened to
University of the Incarnate Word	private Catholic university	instance of game
University of the Incarnate Word	1881	inception
University of the Incarnate Word	Sisters of Charity of the Incarnate Word	founder
University of the Incarnate Word	154 acre	area
Federal University of Paraíba	public university	instance of game
Federal University of Paraíba	Universidade Federal da Paraíba	official name
Federal University of Paraíba	UFPB	abbreviation
Kansas City metropolitan area	15-county metropolitan area	instance of game
Kansas City metropolitan area	border between the U.S. states of Missouri and Kansas	located in administrative district
Kansas City metropolitan area	second largest metropolitan area with its core in Missouri	ranking
Mid-America Regional Council	Council of Governments	instance of game
Mid-America Regional Council	Metropolitan Planning Organization for the area	instance of game
University of Missouri–Kansas City	public research university	instance of game
Gone in 60 Seconds	2000 American action heist film	instance of game
Gone in 60 Seconds	Nicolas Cage	cast member
Gone in 60 Seconds	Angelina Jolie	cast member
Gone in 60 Seconds	Giovanni Ribisi	cast member
Gone in 60 Seconds	Christopher Eccleston	cast member
Gone in 60 Seconds	Robert Duvall	cast member
Gone in 60 Seconds	Vinnie Jones	cast member
Gone in 60 Seconds	Will Patton	cast member
Gone in 60 Seconds	Dominic Sena	director
Gone in 60 Seconds	Scott Rosenberg	writer
Gone in 60 Seconds	Jerry Bruckheimer	producer
The Rock	Jerry Bruckheimer	producer
Con Air	Jerry Bruckheimer	producer
The Rock	Nicolas Cage	cast member
Con Air	Nicolas Cage	cast member
Armageddon	Jerry Bruckheimer	producer
Armageddon	Patton Oswald	cast member
Gone in 60 Seconds	loose remake of 1974 H.B. Halicki film of the same name	instance of game
Deadfall	1993 crime drama film	instance of game
Deadfall	Christopher Coppola	director
Nick Vallelonga	Christopher Coppola	writer
Deadfall	Michael Biehn	cast member
Deadfall	Nicolas Cage	cast member
Deadfall	Charlie Sheen	cast member
Deadfall	James Coburn	cast member
Deadfall	Peter Fonda	cast member
Deadfall	song "Deadfall"	inspiration for
song "Deadfall"	Snot	author
Arsenal	Nicolas Cage	cast member
Arsenal	2017	publication time
Time to Kill	Italian drama film	instance of game
Time to Kill	Tempo di uccidere	original title
